VO_OVOCODE;VO_PG_DEPTIDOVO;VO_PG_DEPTIDtotOVO nieuw (sleutel geldig tot)
OVO045600;1 B 3F BAA;31/12/2011
OVO045601;1 B 3F BAB;31/12/2011
OVO045602;1 B 3F BAC;31/12/2011
OVO045603;1 B 3F BB;31/12/2011
OVO045604;1 B 3F BC;31/12/2011
OVO045605;1 B 3F BCA;31/12/2011
OVO045606;1 B 3F BCB;31/12/2011
OVO045607;1 B 3F BD;31/12/2011
OVO045608;1 B 3F BE;31/12/2011
OVO045609;1 B 3F BF;31/12/2011
OVO039263;1 B 3F C;31/12/2011
OVO045610;1 B 3F CA;31/12/2011
OVO045611;1 B 3F CB;31/12/2011
OVO045612;1 B 3F CBA;31/12/2011
OVO045613;1 B 3F CBB;31/12/2011
OVO045614;1 B 3F CBC;31/12/2011
OVO045615;1 B 3F CBD;31/12/2011
OVO045616;1 B 3F CBE;31/12/2011
OVO045617;1 B 3F CBF;31/12/2011
OVO045618;1 B 3F CBG;31/12/2011
OVO045619;1 B 3F CBH;31/12/2011
OVO045620;1 B 3F CBJ;31/12/2011
OVO045621;1 B 3F CBZ;31/12/2011
OVO045622;1 B 3F CC;31/12/2011
OVO045623;1 B 3F CD;31/12/2011
OVO045624;1 B 3F CE;31/12/2011
OVO039261;1 B 3F D;31/12/2011
OVO045625;1 B 3F DA;31/12/2011
OVO045626;1 B 3F DB;31/12/2011
OVO045627;1 B 3F DC;28/02/2013
OVO045628;1 B 3F DD;31/12/2011
OVO045629;1 B 3F DE;31/12/2011
OVO045630;1 B 3F DEA;31/12/2011
OVO045631;1 B 3F DEB;31/12/2011
OVO045632;1 B 3F DEC;31/12/2011
OVO045633;1 B 3F DED;31/12/2011
OVO045634;1 B 3F DF;31/12/2011
OVO045635;1 B 3F DG;31/12/2011
OVO045636;1 B 3F DGA;31/12/2011
OVO045637;1 B 3F DGB;31/12/2011
OVO045638;1 B 3F DGC;31/12/2011
OVO045639;1 B 3F E;31/12/2011
OVO045640;1 B 3F EA;31/12/2011
OVO045641;1 B 3F EB;31/12/2011
OVO045642;1 B 3F EBA;31/12/2011
OVO045643;1 B 3F EBB;31/12/2011
